decile,observation_count,default_count,predicted_pd_min,predicted_pd_max,average_predicted_pd,actual_default_rate,non_default_count,default_rate_lift,calibration_gap,etl_batch_id,source_asset_id,source_sha256,loaded_at
1,5000,11,0.000769,0.005362,0.003752,0.0022,4989,0.009356,0.001552,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
2,5000,8,0.005362,0.008253,0.006769,0.0016,4992,0.006804,0.005169,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
3,5000,17,0.008254,0.012666,0.010205,0.0034,4983,0.014459,0.006805,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
4,5000,30,0.012667,0.033775,0.01905,0.006,4970,0.025517,0.01305,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
5,5000,158,0.033778,0.099805,0.068637,0.0316,4842,0.134388,0.037037,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
6,5000,394,0.099836,0.164468,0.131777,0.0788,4606,0.33512,0.052977,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
7,5000,1339,0.16447,0.303256,0.2127,0.2678,3661,1.138896,-0.0551,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
8,5000,1614,0.303268,0.482976,0.409949,0.3228,3386,1.372799,0.087149,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
9,5000,3449,0.48302,0.725777,0.567376,0.6898,1551,2.933571,-0.122424,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
10,5000,4737,0.725803,0.990258,0.91805,0.9474,263,4.029089,-0.02935,a4610f7b291b4283aabbcacd4adb76fd,e65bb90a658c8f0cea0badccc8b939ce,7b463945e5b40222ec6bdd893edca4c5da19b693b528370df6d128368e9c2330,2026-06-19 19:12:33.608689+05:30
