dimension,category,count,total_ead,exposure_share,hhi_contribution,average_pd,average_lgd
industry,Financial Services,6059,100859703.13999988,0.1203653598079568,0.014487819841698902,0.22754474137646424,0.5455338882653912
industry,Healthcare,6013,100262936.29999991,0.11965318186987237,0.014316883931584753,0.23443785015799165,0.5467114305671061
industry,Technology,5952,100127357.47000019,0.11949138291402371,0.014278190590705838,0.23893960147849538,0.5480678891129052
industry,Manufacturing,5079,86919675.9600001,0.1037294156695496,0.010759791675146202,0.2431212185469578,0.5512058377633402
industry,Government,5130,85066084.21000019,0.10151735048414934,0.010305772449321616,0.22787808323586725,0.5445575021442505
industry,Retail,4853,83354908.87000018,0.09947524418122171,0.009895324204913684,0.24335728147537697,0.5546314636307419
industry,Education,4849,79704427.0100001,0.09511878120471041,0.009047582537869572,0.2300722790266036,0.5429482462363376
industry,Energy,4047,67380086.04000022,0.08041098721893108,0.006465926865523098,0.22990622164566382,0.5453165774647896
industry,Construction,3980,67323804.57000002,0.08034382125297845,0.006455129613530552,0.23717312889447248,0.5508314555276386
industry,Transportation,4038,66947276.88999993,0.07989447539660648,0.006383127198898958,0.23619895542347646,0.5415308103021291
region,North,11038,183399908.09999987,0.21886834126966656,0.04790335081013523,0.23076314259829767,0.5462237634535253
region,Central,10159,170749602.1300003,0.20377154262406477,0.04152284158339105,0.23387715257407163,0.5470605150113169
region,East,10118,170384262.44999984,0.20333554845923624,0.041345345267218406,0.2368698245700731,0.5490472185214466
region,South,9747,161509788.31999987,0.19274480469826016,0.037150559738170455,0.23190422755719683,0.5436834427003177
region,West,8938,151902699.45999885,0.1812797629487724,0.032862352454763114,0.24155375419556946,0.5501187692996204
