model_family,metric_name,metric_value,source_generated_at,numeric_value,text_value
EAD,mae,1576.4102,,1576.4102,
EAD,rmse,1967.5374,,1967.5374,
EAD,r2_score,0.9838,,0.9838,
EAD,train_samples,40000,,40000.0,
EAD,test_samples,10000,,10000.0,
EAD,feature_count,61,,61.0,
LGD,mae,0.0347,,0.0347,
LGD,rmse,0.0465,,0.0465,
LGD,r2_score,0.9662,,0.9662,
LGD,train_samples,40000,,40000.0,
LGD,test_samples,10000,,10000.0,
LGD,feature_count,61,,61.0,
PD,accuracy,0.8593,,0.8593,
PD,precision,0.7513,,0.7513,
PD,recall,0.6002,,0.6002,
PD,f1_score,0.6673,,0.6673,
PD,roc_auc,0.9068,,0.9068,
PD,model_health_score,0.8111,,0.8111,
PD,population_stability_index,0.0058,,0.0058,
PD,psi,0.0058,,0.0058,
PD,model_drift,"""NO DRIFT""",,,NO DRIFT
PD,train_auc,0.9534,,0.9534,
PD,overfitting_risk,"""MODERATE OVERFITTING RISK""",,,MODERATE OVERFITTING RISK
PD,train_samples,40000,,40000.0,
PD,test_samples,10000,,10000.0,
PD,feature_count,61,,61.0,
