bucket,score_min,score_max,proxy_train_count,proxy_train_pct,proxy_oot_count,proxy_oot_pct,pct_point_shift,psi_contribution,etl_batch_id,source_asset_id,source_sha256,loaded_at
1,0.0,0.00537603,4000,0.1,1030,0.103,0.003,8.868e-05,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
2,0.00537603,0.00831365,4000,0.1,1065,0.1065,0.0065,0.00040933,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
3,0.00831365,0.0127864,4000,0.1,998,0.0998,-0.0002,4e-07,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
4,0.0127864,0.034493,4000,0.1,965,0.0965,-0.0035,0.00012469,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
5,0.034493,0.10009494,4000,0.1,961,0.0961,-0.0039,0.00015514,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
6,0.10009494,0.16428083,4000,0.1,962,0.0962,-0.0038,0.00014721,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
7,0.16428083,0.30414257,4000,0.1,1032,0.1032,0.0032,0.00010079,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
8,0.30414257,0.48252799,4000,0.1,962,0.0962,-0.0038,0.00014721,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
9,0.48252799,0.72719575,4000,0.1,1033,0.1033,0.0033,0.00010714,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
10,0.72719575,1.0,4000,0.1,992,0.0992,-0.0008,6.43e-06,a4610f7b291b4283aabbcacd4adb76fd,408a8c7beef7ed65313752c5b868d14f,4a9aabe4a7e6f2f83f3e746269f2c757583b99fb6810fa10094b484b0f99675f,2026-06-19 19:12:34.795429+05:30
