variable,category,count,percentage,cumulative_percentage
risk_band,PRIME,21056,42.112,42.112
risk_band,NEAR PRIME,7987,15.974,58.086
risk_band,MODERATE RISK,5888,11.776,69.862
risk_band,HIGH RISK,5648,11.296000000000001,81.158
risk_band,DEFAULT RISK,9421,18.842,100.0
risk_grade,AAA,19725,39.45,39.45
risk_grade,AA,2817,5.634,45.084
risk_grade,A,6501,13.001999999999999,58.086
risk_grade,BBB,5007,10.014000000000001,68.1
risk_grade,BB,2939,5.878,73.978
risk_grade,B,6596,13.192,87.16999999999999
risk_grade,CCC,6415,12.83,99.99999999999999
industry,Construction,3980,7.960000000000001,7.960000000000001
industry,Education,4849,9.698,17.658
industry,Energy,4047,8.094,25.752000000000002
industry,Financial Services,6059,12.118,37.870000000000005
industry,Government,5130,10.26,48.13
industry,Healthcare,6013,12.026,60.156000000000006
industry,Manufacturing,5079,10.158000000000001,70.31400000000001
industry,Retail,4853,9.706,80.02000000000001
industry,Technology,5952,11.904,91.924
industry,Transportation,4038,8.076,100.0
region,Central,10159,20.318,20.318
region,East,10118,20.236,40.554
region,North,11038,22.076,62.63
region,South,9747,19.494,82.124
region,West,8938,17.876,100.0
ifrs9_stage,STAGE 1,33622,67.244,67.244
ifrs9_stage,STAGE 2,12957,25.913999999999998,93.158
ifrs9_stage,STAGE 3,3421,6.842,100.0
watchlist_status,NON-WATCHLIST,33622,67.244,67.244
watchlist_status,WATCHLIST,16378,32.756,100.0
underwriting_decision,APPROVE,25043,50.086,50.086
underwriting_decision,WATCH,9007,18.014,68.1
underwriting_decision,HIGH RISK REVIEW,4621,9.242,77.342
underwriting_decision,REJECT,11329,22.658,100.0
risk_profile,PRIME,20083,40.166000000000004,40.166000000000004
risk_profile,NEAR_PRIME,15072,30.144,70.31
risk_profile,HIGH_RISK,4977,9.954,80.26400000000001
risk_profile,SUBPRIME,9868,19.736,100.00000000000001
