metric,decile,count,minimum,maximum,mean,total_ead,current_credit_loss_proxy
pd,1,5000,0.000862,0.005611,0.0038612405999999856,15501715.290000033,16480.109171448763
pd,2,5000,0.005611,0.008503,0.0070103905999999985,17084828.629999958,37888.409155074405
pd,3,5000,0.008503,0.012784,0.010404420599999995,19035786.820000038,69667.28981412969
pd,4,5000,0.012784,0.033399,0.019009697000000006,23806199.270000003,185017.88128365274
pd,5,5000,0.033413,0.099453,0.068344949,56526772.450000025,1792410.795930676
pd,6,5000,0.099507,0.163122,0.13089416039999985,71054211.84000023,5052937.904506597
pd,7,5000,0.163132,0.304347,0.21260057079999953,83338780.71999985,11329546.350833869
pd,8,5000,0.304575,0.484366,0.40959815399999977,147079958.43999982,49035618.45364356
pd,9,5000,0.484415,0.723571,0.5682653787999999,164979277.67000034,84220902.29299854
pd,10,5000,0.72361,0.989547,0.9178407195999991,239538729.33000016,208803349.75181064
lgd,1,5000,0.11164,0.253143,0.2061713869999998,13963890.240000036,27371.72942878086
lgd,2,5000,0.253164,0.315873,0.28761209040000046,19513982.60000001,79030.01809109404
lgd,3,5000,0.315922,0.371234,0.34446453900000057,24283298.92999999,268160.0475710791
lgd,4,5000,0.371242,0.424036,0.3969651359999995,31782900.93000003,694479.5117288319
lgd,5,5000,0.424052,0.483582,0.45240813939999897,46124578.469999984,1753655.7392475503
lgd,6,5000,0.483659,0.563841,0.5213950627999998,64088877.019999936,4760203.073659584
lgd,7,5000,0.56386,0.683966,0.6192778871999998,88313732.93000013,13166231.12244881
lgd,8,5000,0.683986,0.864059,0.7729081720000016,141504308.10000032,47195137.29802764
lgd,9,5000,0.864088,0.94737,0.9200675463999997,177847757.45000002,103734383.65025418
lgd,10,5000,0.947374,0.960808,0.950391941,230522933.7900002,188865167.04869127
ead,1,5000,1414.69,2295.76,1839.2960959999994,9196480.479999997,24118.23656640348
ead,2,5000,2296.1,3618.61,2902.458081999999,14512290.409999996,52106.3292238101
ead,3,5000,3618.8,4916.51,4264.099238000016,21320496.19000008,102133.42660431714
ead,4,5000,4916.59,6528.19,5649.964465999994,28249822.329999972,195885.2294217614
ead,5,5000,6529.05,11361.45,8979.261530000022,44896307.65000011,2344503.5051186923
ead,6,5000,11363.32,16059.49,13738.690858000004,68693454.29000002,5358022.9901535865
ead,7,5000,16063.26,21520.81,18715.397564000028,93576987.82000014,9998966.859489858
ead,8,5000,21521.62,31523.67,26844.909147999948,134224545.73999974,50967724.6771742
ead,9,5000,31524.55,39991.72,35946.64011400001,179733200.57000005,89351011.4470951
ead,10,5000,39991.94,58516.16,48708.53499599994,243542674.9799997,202149346.53830048
credit_score,1,5000,306.0,452.0,345.1892,239542396.69999954,208805751.21700826
credit_score,2,5000,452.0,584.0,537.4526,164979214.5200001,84218123.95108253
credit_score,3,5000,584.0,682.0,624.7242,147076354.2200001,49035995.330361255
credit_score,4,5000,683.0,760.0,733.07,83328451.99000011,11327323.995470345
credit_score,5,5000,760.0,795.0,778.0152,71029069.94000007,5052761.007213872
credit_score,6,5000,795.0,832.0,812.4018,56555204.84999996,1794789.58138909
credit_score,7,5000,832.0,843.0,839.5592,23752323.759999946,184137.0437154261
credit_score,8,5000,843.0,845.0,844.2604,19078400.580000006,69884.0855465676
credit_score,9,5000,845.0,847.0,846.1802,16925121.649999984,37328.69904223441
credit_score,10,5000,847.0,850.0,847.8548,15679722.24999998,17724.32831787977
