dimension,category,count,total_ead,average_pd,average_lgd,weighted_pd,weighted_lgd,current_credit_loss_proxy
industry,Construction,3980,67323804.57000002,0.23717312889447248,0.5508314555276386,0.48680773860184323,0.7575245820949097,29019152.735153962
industry,Education,4849,79704427.0100001,0.2300722790266036,0.5429482462363376,0.4832724078102375,0.7491666374047089,34025252.70822072
industry,Energy,4047,67380086.04000022,0.22990622164566382,0.5453165774647896,0.4772258460939377,0.7510956788887352,28362874.033206757
industry,Financial Services,6059,100859703.13999988,0.22754474137646424,0.5455338882653912,0.4739110256568311,0.7517886492043401,42199503.29058353
industry,Government,5130,85066084.21000019,0.22787808323586725,0.5445575021442505,0.4801537168713515,0.7554257002213057,36267692.890536
industry,Healthcare,6013,100262936.29999991,0.23443785015799165,0.5467114305671061,0.48324102248304796,0.7528255232526231,42735210.35279136
industry,Manufacturing,5079,86919675.9600001,0.2431212185469578,0.5512058377633402,0.4958658083880278,0.7573592176160742,38132905.48027193
industry,Retail,4853,83354908.87000018,0.24335728147537697,0.5546314636307419,0.4962837160785171,0.761012172588359,36649830.61502107
industry,Technology,5952,100127357.47000019,0.23893960147849538,0.5480678891129052,0.49622923088842724,0.7570777360367343,44003546.98297865
industry,Transportation,4038,66947276.88999993,0.23619895542347646,0.5415308103021291,0.4928273620175801,0.753047578316775,29147850.15038453
industry,TOTAL,50000,837946260.460002,0.23478296814000016,0.5471661901199958,0.48653532298394403,0.754665585867323,360543819.2391487
region,Central,10159,170749602.1300003,0.23387715257407163,0.5470605150113169,0.4853600289145574,0.7540965481761336,73290619.8698353
region,East,10118,170384262.44999984,0.2368698245700731,0.5490472185214466,0.4895048661031247,0.7566895782516633,73876261.05068785
region,North,11038,183399908.09999987,0.23076314259829767,0.5462237634535253,0.4780930085408461,0.7511204172486035,77448186.16649096
region,South,9747,161509788.31999987,0.23190422755719683,0.5436834427003177,0.48574410869197776,0.753119159020783,69315493.21020706
region,West,8938,151902699.45999885,0.24155375419556946,0.5501187692996204,0.49555969273679124,0.7589594738863376,66613258.94192716
region,TOTAL,50000,837946260.460002,0.23478296814000016,0.5471661901199958,0.48653532298394403,0.754665585867323,360543819.2391487
risk_band,DEFAULT RISK,9421,385969611.059999,0.7584613491136841,0.9204880653858407,0.791705671194354,0.9276668093422841,285213677.15566146
risk_band,HIGH RISK,5648,167146849.70999962,0.41677180258498464,0.7887525872875397,0.4210622948825873,0.8066596507786541,57162468.849553674
risk_band,MODERATE RISK,5888,96043038.81000002,0.20240633016304335,0.6014080444972822,0.2056831556226902,0.6162158125586737,12286396.236577244
risk_band,NEAR PRIME,7987,104178640.80000012,0.10048004895455166,0.48319343933892567,0.10312587251124392,0.4921551160662946,5419387.395225915
risk_band,PRIME,21056,84608120.0800001,0.011657212813449875,0.324428203979863,0.014643273496476383,0.3431360758463108,461889.6021304703
risk_band,TOTAL,50000,837946260.460002,0.23478296814000016,0.5471661901199958,0.48653532298394403,0.754665585867323,360543819.2391487
risk_grade,A,6501,87670217.37000056,0.10966820996769747,0.4970276115982163,0.11115024276838428,0.504330409252264,4991336.104833066
risk_grade,AA,2817,27614610.59000004,0.050527962726304526,0.40892294710685034,0.05241095012297426,0.4138787557699783,604927.6495294743
risk_grade,AAA,19725,73501932.92000036,0.009769232953105231,0.3197624242332058,0.010755896041804304,0.33550535484377897,285013.2429938457
risk_grade,B,6596,209557818.89000037,0.4943606177986661,0.8498797266525189,0.49574692412982213,0.858274050147169,89498681.6363557
risk_grade,BB,2939,72250386.24000004,0.3304563613473977,0.6995166413746164,0.3380055719130367,0.7303816102772402,17978611.889779024
risk_grade,BBB,5007,79133791.34999998,0.190082627920911,0.5948612458558024,0.19118361860701874,0.605930328265439,9210325.365937669
risk_grade,CCC,6415,288217503.1000003,0.8585194674980509,0.9396300699922057,0.8752773056542197,0.9419521636206823,237974923.34972033
risk_grade,TOTAL,50000,837946260.460002,0.23478296814000016,0.5471661901199958,0.48653532298394403,0.754665585867323,360543819.2391487
ifrs9_stage,STAGE 1,33622,343429056.05999964,0.10737267669978032,0.44606145853905277,0.24415882772258185,0.6111942412920219,65627438.81979097
ifrs9_stage,STAGE 2,12957,345336159.8199984,0.4149850221501889,0.7120054772709691,0.5752953341754025,0.8232536036178649,177858480.7193781
ifrs9_stage,STAGE 3,3421,149181044.57999995,0.8044733525285018,0.9165086752411585,0.8390404935728187,0.9261773610499782,117057899.6999787
ifrs9_stage,TOTAL,50000,837946260.460002,0.23478296814000016,0.5471661901199958,0.48653532298394403,0.754665585867323,360543819.2391487
