table_name,row_dimension,row_value,column_dimension,column_value,count,total_ead,cell_type
industry_by_risk_band,industry,Construction,risk_band,PRIME,1629,6379150.9199999925,DETAIL
industry_by_risk_band,industry,Construction,risk_band,NEAR PRIME,653,8592338.460000003,DETAIL
industry_by_risk_band,industry,Construction,risk_band,MODERATE RISK,486,7914166.770000001,DETAIL
industry_by_risk_band,industry,Construction,risk_band,HIGH RISK,476,14090841.950000001,DETAIL
industry_by_risk_band,industry,Construction,risk_band,DEFAULT RISK,736,30347306.47,DETAIL
industry_by_risk_band,industry,Education,risk_band,PRIME,2064,8363484.450000006,DETAIL
industry_by_risk_band,industry,Education,risk_band,NEAR PRIME,781,10061377.209999986,DETAIL
industry_by_risk_band,industry,Education,risk_band,MODERATE RISK,610,9946905.699999994,DETAIL
industry_by_risk_band,industry,Education,risk_band,HIGH RISK,497,14533118.700000014,DETAIL
industry_by_risk_band,industry,Education,risk_band,DEFAULT RISK,897,36799540.94999995,DETAIL
industry_by_risk_band,industry,Energy,risk_band,PRIME,1717,6862056.509999998,DETAIL
industry_by_risk_band,industry,Energy,risk_band,NEAR PRIME,673,9045041.079999994,DETAIL
industry_by_risk_band,industry,Energy,risk_band,MODERATE RISK,449,7307850.520000007,DETAIL
industry_by_risk_band,industry,Energy,risk_band,HIGH RISK,479,14339470.479999997,DETAIL
industry_by_risk_band,industry,Energy,risk_band,DEFAULT RISK,729,29825667.44999996,DETAIL
industry_by_risk_band,industry,Financial Services,risk_band,PRIME,2581,10527396.480000006,DETAIL
industry_by_risk_band,industry,Financial Services,risk_band,NEAR PRIME,970,12749905.139999999,DETAIL
industry_by_risk_band,industry,Financial Services,risk_band,MODERATE RISK,738,12247346.530000005,DETAIL
industry_by_risk_band,industry,Financial Services,risk_band,HIGH RISK,724,22059874.239999987,DETAIL
industry_by_risk_band,industry,Financial Services,risk_band,DEFAULT RISK,1046,43275180.749999955,DETAIL
industry_by_risk_band,industry,Government,risk_band,PRIME,2224,9107220.110000003,DETAIL
industry_by_risk_band,industry,Government,risk_band,NEAR PRIME,821,10666679.30000002,DETAIL
industry_by_risk_band,industry,Government,risk_band,MODERATE RISK,565,9530231.040000003,DETAIL
industry_by_risk_band,industry,Government,risk_band,HIGH RISK,625,18549718.819999997,DETAIL
industry_by_risk_band,industry,Government,risk_band,DEFAULT RISK,895,37212234.94000001,DETAIL
industry_by_risk_band,industry,Healthcare,risk_band,PRIME,2516,10064975.500000035,DETAIL
industry_by_risk_band,industry,Healthcare,risk_band,NEAR PRIME,963,12289543.840000007,DETAIL
industry_by_risk_band,industry,Healthcare,risk_band,MODERATE RISK,720,11722106.47000002,DETAIL
industry_by_risk_band,industry,Healthcare,risk_band,HIGH RISK,671,19767324.480000015,DETAIL
industry_by_risk_band,industry,Healthcare,risk_band,DEFAULT RISK,1143,46418986.01,DETAIL
industry_by_risk_band,industry,Manufacturing,risk_band,PRIME,2060,8226010.02,DETAIL
industry_by_risk_band,industry,Manufacturing,risk_band,NEAR PRIME,829,10834394.350000001,DETAIL
industry_by_risk_band,industry,Manufacturing,risk_band,MODERATE RISK,607,9515825.150000006,DETAIL
industry_by_risk_band,industry,Manufacturing,risk_band,HIGH RISK,566,16764988.94000001,DETAIL
industry_by_risk_band,industry,Manufacturing,risk_band,DEFAULT RISK,1017,41578457.50000002,DETAIL
industry_by_risk_band,industry,Retail,risk_band,PRIME,2007,7977152.48,DETAIL
industry_by_risk_band,industry,Retail,risk_band,NEAR PRIME,746,9868818.72,DETAIL
industry_by_risk_band,industry,Retail,risk_band,MODERATE RISK,569,9252497.18,DETAIL
industry_by_risk_band,industry,Retail,risk_band,HIGH RISK,536,15929208.169999998,DETAIL
industry_by_risk_band,industry,Retail,risk_band,DEFAULT RISK,995,40327232.32000004,DETAIL
industry_by_risk_band,industry,Technology,risk_band,PRIME,2517,10111693.889999997,DETAIL
industry_by_risk_band,industry,Technology,risk_band,NEAR PRIME,918,11880513.299999986,DETAIL
industry_by_risk_band,industry,Technology,risk_band,MODERATE RISK,705,11398614.799999991,DETAIL
industry_by_risk_band,industry,Technology,risk_band,HIGH RISK,644,18754003.280000005,DETAIL
industry_by_risk_band,industry,Technology,risk_band,DEFAULT RISK,1168,47982532.20000005,DETAIL
industry_by_risk_band,industry,Transportation,risk_band,PRIME,1741,6988979.719999993,DETAIL
industry_by_risk_band,industry,Transportation,risk_band,NEAR PRIME,633,8190029.399999999,DETAIL
industry_by_risk_band,industry,Transportation,risk_band,MODERATE RISK,439,7207494.649999992,DETAIL
industry_by_risk_band,industry,Transportation,risk_band,HIGH RISK,430,12358300.649999999,DETAIL
industry_by_risk_band,industry,Transportation,risk_band,DEFAULT RISK,795,32202472.469999988,DETAIL
industry_by_risk_band,industry,Construction,risk_band,TOTAL,3980,67323804.57,ROW_TOTAL
industry_by_risk_band,industry,Education,risk_band,TOTAL,4849,79704427.00999996,ROW_TOTAL
industry_by_risk_band,industry,Energy,risk_band,TOTAL,4047,67380086.03999996,ROW_TOTAL
industry_by_risk_band,industry,Financial Services,risk_band,TOTAL,6059,100859703.13999996,ROW_TOTAL
industry_by_risk_band,industry,Government,risk_band,TOTAL,5130,85066084.21000004,ROW_TOTAL
industry_by_risk_band,industry,Healthcare,risk_band,TOTAL,6013,100262936.30000007,ROW_TOTAL
industry_by_risk_band,industry,Manufacturing,risk_band,TOTAL,5079,86919675.96000004,ROW_TOTAL
industry_by_risk_band,industry,Retail,risk_band,TOTAL,4853,83354908.87000003,ROW_TOTAL
industry_by_risk_band,industry,Technology,risk_band,TOTAL,5952,100127357.47000003,ROW_TOTAL
industry_by_risk_band,industry,Transportation,risk_band,TOTAL,4038,66947276.88999997,ROW_TOTAL
industry_by_risk_band,industry,TOTAL,risk_band,DEFAULT RISK,9421,385969611.05999994,COLUMN_TOTAL
industry_by_risk_band,industry,TOTAL,risk_band,HIGH RISK,5648,167146849.71000004,COLUMN_TOTAL
industry_by_risk_band,industry,TOTAL,risk_band,MODERATE RISK,5888,96043038.81000002,COLUMN_TOTAL
industry_by_risk_band,industry,TOTAL,risk_band,NEAR PRIME,7987,104178640.8,COLUMN_TOTAL
