borrower_key,facility_key,ead,exposure_share,pd_score,lgd,current_credit_loss_proxy,risk_band,risk_grade,industry,region,ifrs_stage,underwriting_decision
13853,13853,58516.16,6.983283148477431e-05,0.89826,0.951593,50018.32200984939,DEFAULT RISK,CCC,Retail,Central,STAGE 3,REJECT
12048,12048,58499.78,6.981328369182753e-05,0.95165,0.949325,52850.17171709502,DEFAULT RISK,CCC,Retail,South,STAGE 3,REJECT
33362,33362,58357.22,6.96431534499171e-05,0.869085,0.950427,48203.17163971516,DEFAULT RISK,CCC,Education,Central,STAGE 2,REJECT
34245,34245,58346.5,6.963036026674314e-05,0.978309,0.950092,54232.112208433304,DEFAULT RISK,CCC,Government,West,STAGE 3,REJECT
662,662,58235.57,6.949797707555961e-05,0.97609,0.950189,54011.74300200652,DEFAULT RISK,CCC,Manufacturing,West,STAGE 3,REJECT
47978,47978,58188.6,6.944192336159683e-05,0.852286,0.937794,46508.32650714205,DEFAULT RISK,CCC,Energy,East,STAGE 3,REJECT
36334,36334,58170.17,6.941992911104683e-05,0.976855,0.950187,53993.25639918717,DEFAULT RISK,CCC,Construction,South,STAGE 2,REJECT
14367,14367,58167.22,6.941640859888608e-05,0.972129,0.951176,53785.237485510785,DEFAULT RISK,CCC,Healthcare,North,STAGE 2,REJECT
814,814,58135.21,6.937820805845711e-05,0.930522,0.950229,51403.67529067943,DEFAULT RISK,CCC,Education,West,STAGE 2,REJECT
2345,2345,58097.41,6.933309776704147e-05,0.962323,0.95024,53126.46822299053,DEFAULT RISK,CCC,Healthcare,East,STAGE 2,REJECT
24169,24169,58091.87,6.9326486364543e-05,0.959998,0.949201,52935.11637031301,DEFAULT RISK,CCC,Energy,South,STAGE 3,REJECT
14060,14060,58091.13,6.932560325301792e-05,0.967198,0.950022,53377.57959979758,DEFAULT RISK,CCC,Transportation,North,STAGE 3,REJECT
31942,31942,58068.9,6.92990741054473e-05,0.945004,0.9495,52104.1379654322,DEFAULT RISK,CCC,Financial Services,East,STAGE 3,REJECT
22278,22278,58064.09,6.929333388053435e-05,0.95997,0.951115,53014.94511312719,DEFAULT RISK,CCC,Energy,Central,STAGE 2,REJECT
36090,36090,58049.79,6.927626834700939e-05,0.976957,0.950059,53879.88727135115,DEFAULT RISK,CCC,Construction,East,STAGE 3,REJECT
22189,22189,58027.63,6.924982273701545e-05,0.968247,0.950386,53397.51217174403,DEFAULT RISK,CCC,Healthcare,East,STAGE 3,REJECT
47950,47950,58025.06,6.924675571455676e-05,0.894507,0.951164,49369.047277359066,DEFAULT RISK,CCC,Healthcare,Central,STAGE 3,REJECT
25580,25580,58010.44,6.922930829496692e-05,0.93444,0.951445,51575.241289094956,DEFAULT RISK,CCC,Technology,East,STAGE 2,REJECT
24085,24085,58008.24,6.922668282827076e-05,0.962743,0.951206,53122.0271667688,DEFAULT RISK,CCC,Financial Services,Central,STAGE 2,REJECT
11924,11924,57997.37,6.921371063600389e-05,0.978699,0.950141,53931.87305803955,DEFAULT RISK,CCC,Transportation,East,STAGE 3,REJECT
13486,13486,57995.09,6.92109896977915e-05,0.847488,0.948933,46640.192489820205,DEFAULT RISK,CCC,Financial Services,East,STAGE 3,REJECT
34045,34045,57983.01,6.919657349884175e-05,0.93856,0.950688,51736.94849961953,DEFAULT RISK,CCC,Financial Services,East,STAGE 2,REJECT
4766,4766,57968.88,6.917971084228875e-05,0.917248,0.949109,50465.87117136316,DEFAULT RISK,CCC,Construction,West,STAGE 3,REJECT
28134,28134,57958.83,6.916771723306317e-05,0.947621,0.95065,52212.55417414673,DEFAULT RISK,CCC,Education,West,STAGE 3,REJECT
22647,22647,57942.95,6.914876613709278e-05,0.957509,0.950393,52728.65529814434,DEFAULT RISK,CCC,Construction,East,STAGE 2,REJECT
