exposure_rank,borrower_key,facility_key,ead,exposure_share,cumulative_exposure_share
1,13853,13853,58516.16,6.98328314847745e-05,6.98328314847745e-05
2,12048,12048,58499.78,6.981328369182771e-05,0.0001396461151766022
3,33362,33362,58357.22,6.96431534499173e-05,0.0002092892686265195
4,34245,34245,58346.5,6.963036026674333e-05,0.00027891962889326286
5,662,662,58235.57,6.94979770755598e-05,0.00034841760596882265
6,47978,47978,58188.6,6.944192336159702e-05,0.0004178595293304197
7,36334,36334,58170.17,6.941992911104702e-05,0.0004872794584414667
8,14367,14367,58167.22,6.941640859888627e-05,0.000556695867040353
9,814,814,58135.21,6.93782080584573e-05,0.0006260740750988103
10,2345,2345,58097.41,6.933309776704166e-05,0.0006954071728658519
11,24169,24169,58091.87,6.932648636454318e-05,0.0007647336592303952
12,14060,14060,58091.13,6.932560325301811e-05,0.0008340592624834133
13,31942,31942,58068.9,6.929907410544749e-05,0.0009033583365888608
14,22278,22278,58064.09,6.929333388053454e-05,0.0009726516704693953
15,36090,36090,58049.79,6.927626834700958e-05,0.0010419279388164048
16,22189,22189,58027.63,6.924982273701564e-05,0.0011111777615534205
17,47950,47950,58025.06,6.924675571455695e-05,0.0011804245172679774
18,25580,25580,58010.44,6.92293082949671e-05,0.0012496538255629445
19,24085,24085,58008.24,6.922668282827094e-05,0.0013188805083912153
20,11924,11924,57997.37,6.921371063600407e-05,0.0013880942190272194
21,13486,13486,57995.09,6.92109896977917e-05,0.0014573052087250111
22,34045,34045,57983.01,6.919657349884194e-05,0.001526501782223853
23,4766,4766,57968.88,6.917971084228894e-05,0.001595681493066142
24,28134,28134,57958.83,6.916771723306336e-05,0.0016648492102992053
25,22647,22647,57942.95,6.914876613709297e-05,0.0017339979764362983
